#                                                                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
179362at2759_186990_0:001100|NODE_859_length_15811_cov_67.394560:11233-15222  -            735 179362at2759         -            938   2.3e-91  302.0  69.5   1   1   2.9e-91   2.9e-91  301.7  69.5     1   725     7   730     7   734 0.81 -
179362at2759_50429_0:002004|NODE_859_length_15811_cov_67.394560:11233-15300   -            974 179362at2759         -            938     4e-89  294.6 109.5   2   4   0.00013   0.00013   14.9  35.9   273   471   351   558   332   562 0.71 -
179362at2759_50429_0:002004|NODE_859_length_15811_cov_67.394560:11233-15300   -            974 179362at2759         -            938     4e-89  294.6 109.5   3   4   5.8e-06   5.9e-06   19.4  26.9   367   691   533   850   522   851 0.77 -
179362at2759_50429_0:002004|NODE_859_length_15811_cov_67.394560:11233-15300   -            974 179362at2759         -            938     4e-89  294.6 109.5   4   4    0.0017    0.0017   11.2  28.7   489   708   733   956   726   973 0.73 -
179362at2759_1213857_1:002e9d|NODE_859_length_15811_cov_67.394560:11233-15294 -            837 179362at2759         -            938   5.3e-89  294.2  84.4   1   2   9.6e-82   9.7e-82  270.2  39.5     1   422     7   456     7   459 0.84 -
179362at2759_1213857_1:002e9d|NODE_859_length_15811_cov_67.394560:11233-15294 -            837 179362at2759         -            938   5.3e-89  294.2  84.4   2   2   7.7e-09   7.8e-09   28.9  71.0   180   706   288   819   279   834 0.68 -
179362at2759_7370_0:001c59|NODE_859_length_15811_cov_67.394560:11233-14942    -            904 179362at2759         -            938   5.5e-89  294.1  95.2   1   3   3.5e-81   3.6e-81  268.3  21.8     1   319     7   345     7   348 0.80 -
179362at2759_7370_0:001c59|NODE_859_length_15811_cov_67.394560:11233-14942    -            904 179362at2759         -            938   5.5e-89  294.1  95.2   2   3   2.9e-05   2.9e-05   17.1  55.1   166   471   267   577   263   581 0.78 -
179362at2759_7370_0:001c59|NODE_859_length_15811_cov_67.394560:11233-14942    -            904 179362at2759         -            938   5.5e-89  294.1  95.2   3   3   1.3e-06   1.4e-06   21.5  25.8   368   691   553   869   546   874 0.78 -
179362at2759_7962_0:006e25|NODE_859_length_15811_cov_67.394560:11230-15303    -            956 179362at2759         -            938   6.6e-89  293.9  97.5   1   3   4.1e-84   4.2e-84  278.0  31.1     1   417     8   431     8   440 0.87 -
179362at2759_7962_0:006e25|NODE_859_length_15811_cov_67.394560:11230-15303    -            956 179362at2759         -            938   6.6e-89  293.9  97.5   2   3   5.5e-07   5.5e-07   22.8  53.7   209   689   350   829   349   831 0.78 -
179362at2759_7962_0:006e25|NODE_859_length_15811_cov_67.394560:11230-15303    -            956 179362at2759         -            938   6.6e-89  293.9  97.5   3   3    0.0015    0.0015   11.4  28.6   489   708   714   937   706   954 0.73 -
179362at2759_8090_0:00314c|NODE_859_length_15811_cov_67.394560:11233-15303    -            990 179362at2759         -            938   1.1e-88  293.1  93.4   1   3   2.6e-84   2.7e-84  278.7  35.4     1   446     7   480     7   505 0.85 -
179362at2759_8090_0:00314c|NODE_859_length_15811_cov_67.394560:11233-15303    -            990 179362at2759         -            938   1.1e-88  293.1  93.4   2   3   0.00018   0.00018   14.4  13.9   359   560   533   736   520   746 0.69 -
179362at2759_8090_0:00314c|NODE_859_length_15811_cov_67.394560:11233-15303    -            990 179362at2759         -            938   1.1e-88  293.1  93.4   3   3    0.0017    0.0018   11.2  28.7   489   708   748   971   741   988 0.73 -
179362at2759_35570_0:002aa8|NODE_859_length_15811_cov_67.394560:11233-15282   -           1023 179362at2759         -            938   1.3e-88  292.9 111.4   1   4   5.5e-82   5.6e-82  271.0  26.5     1   365     7   398     7   402 0.86 -
179362at2759_35570_0:002aa8|NODE_859_length_15811_cov_67.394560:11233-15282   -           1023 179362at2759         -            938   1.3e-88  292.9 111.4   2   4   2.5e-05   2.5e-05   17.3  51.3   166   473   267   585   267   591 0.81 -
179362at2759_35570_0:002aa8|NODE_859_length_15811_cov_67.394560:11233-15282   -           1023 179362at2759         -            938   1.3e-88  292.9 111.4   3   4   9.2e-07   9.4e-07   22.0  25.1   367   691   558   875   547   880 0.77 -
179362at2759_35570_0:002aa8|NODE_859_length_15811_cov_67.394560:11233-15282   -           1023 179362at2759         -            938   1.3e-88  292.9 111.4   4   4       0.3       0.3    3.8  11.3   583   676   920  1014   892  1022 0.33 -
179362at2759_1720309_0:00081b|NODE_859_length_15811_cov_67.394560:11233-15294 -            956 179362at2759         -            938   1.4e-88  292.8 110.7   1   3   1.7e-82   1.7e-82  272.7  17.6     1   320     7   346     7   351 0.80 -
179362at2759_1720309_0:00081b|NODE_859_length_15811_cov_67.394560:11233-15294 -            956 179362at2759         -            938   1.4e-88  292.8 110.7   2   3   0.00041   0.00042   13.2  37.9   272   472   400   609   380   613 0.71 -
179362at2759_1720309_0:00081b|NODE_859_length_15811_cov_67.394560:11233-15294 -            956 179362at2759         -            938   1.4e-88  292.8 110.7   3   3   8.6e-06   8.7e-06   18.8  45.0   368   744   584   950   577   956 0.78 -
179362at2759_121225_0:002427|NODE_859_length_15811_cov_67.394560:11233-15303  -            921 179362at2759         -            938   1.5e-88  292.7 107.5   1   3   3.6e-82   3.6e-82  271.6  33.8     1   398     7   432     7   434 0.83 -
179362at2759_121225_0:002427|NODE_859_length_15811_cov_67.394560:11233-15303  -            921 179362at2759         -            938   1.5e-88  292.7 107.5   2   3   2.4e-05   2.5e-05   17.3  51.9   166   472   267   584   266   590 0.81 -
179362at2759_121225_0:002427|NODE_859_length_15811_cov_67.394560:11233-15303  -            921 179362at2759         -            938   1.5e-88  292.7 107.5   3   3   1.5e-05   1.5e-05   18.0  40.9   367   708   558   902   551   919 0.73 -
179362at2759_132113_0:000d1f|NODE_859_length_15811_cov_67.394560:11233-15246  -            960 179362at2759         -            938   1.9e-88  292.4 116.5   1   3     3e-82     3e-82  271.9   8.7     1   280     7   311     7   317 0.89 -
179362at2759_132113_0:000d1f|NODE_859_length_15811_cov_67.394560:11233-15246  -            960 179362at2759         -            938   1.9e-88  292.4 116.5   2   3   4.3e-05   4.4e-05   16.5  55.6   166   472   304   615   301   621 0.78 -
179362at2759_132113_0:000d1f|NODE_859_length_15811_cov_67.394560:11233-15246  -            960 179362at2759         -            938   1.9e-88  292.4 116.5   3   3   8.1e-05   8.2e-05   15.6  44.7   368   745   590   957   583   960 0.67 -
179362at2759_29053_0:001d28|NODE_859_length_15811_cov_67.394560:11233-15234   -            933 179362at2759         -            938   2.3e-88  292.1 101.6   1   3   9.7e-83   9.9e-83  273.5  28.3     1   378     7   411     7   413 0.79 -
179362at2759_29053_0:001d28|NODE_859_length_15811_cov_67.394560:11233-15234   -            933 179362at2759         -            938   2.3e-88  292.1 101.6   2   3    0.0029    0.0029   10.4  47.0   382   696   301   624   291   646 0.70 -
179362at2759_29053_0:001d28|NODE_859_length_15811_cov_67.394560:11233-15234   -            933 179362at2759         -            938   2.3e-88  292.1 101.6   3   3   0.00023   0.00024   14.1  33.4   459   735   651   924   630   932 0.68 -
179362at2759_319348_0:0008be|NODE_859_length_15811_cov_67.394560:11233-15276  -            903 179362at2759         -            938   2.5e-88  292.0 102.0   1   3   5.7e-82   5.7e-82  270.9  19.6     1   320     7   346     7   352 0.80 -
179362at2759_319348_0:0008be|NODE_859_length_15811_cov_67.394560:11233-15276  -            903 179362at2759         -            938   2.5e-88  292.0 102.0   2   3    0.0008   0.00081   12.3  53.3   361   697   286   622   284   640 0.78 -
179362at2759_319348_0:0008be|NODE_859_length_15811_cov_67.394560:11233-15276  -            903 179362at2759         -            938   2.5e-88  292.0 102.0   3   3   1.2e-07   1.2e-07   25.0  75.0   169   704   369   889   358   901 0.68 -
179362at2759_7950_0:004f51|NODE_859_length_15811_cov_67.394560:11233-15300    -            919 179362at2759         -            938   3.6e-88  291.5 101.9   1   2   3.7e-83   3.7e-83  274.9  41.8     1   449     7   483     7   484 0.85 -
179362at2759_7950_0:004f51|NODE_859_length_15811_cov_67.394560:11233-15300    -            919 179362at2759         -            938   3.6e-88  291.5 101.9   2   2   9.1e-08   9.3e-08   25.3  72.0   225   744   401   911   387   918 0.74 -
179362at2759_9713_0:001725|NODE_859_length_15811_cov_67.394560:11233-15279    -            708 179362at2759         -            938   3.7e-88  291.4  67.2   1   2   4.6e-84   4.7e-84  277.8  26.2     1   372     7   398     7   425 0.81 -
179362at2759_9713_0:001725|NODE_859_length_15811_cov_67.394560:11233-15279    -            708 179362at2759         -            938   3.7e-88  291.4  67.2   2   2   1.1e-05   1.2e-05   18.4  34.3   458   739   424   702   404   707 0.77 -
179362at2759_7998_0:003bd1|NODE_859_length_15811_cov_67.394560:11233-15303    -            986 179362at2759         -            938   3.7e-88  291.4 105.9   1   3   7.6e-83   7.7e-83  273.8  41.6     1   447     7   481     7   482 0.85 -
179362at2759_7998_0:003bd1|NODE_859_length_15811_cov_67.394560:11233-15303    -            986 179362at2759         -            938   3.7e-88  291.4 105.9   2   3   4.1e-06   4.1e-06   19.9  40.0   225   560   401   732   382   742 0.72 -
179362at2759_7998_0:003bd1|NODE_859_length_15811_cov_67.394560:11233-15303    -            986 179362at2759         -            938   3.7e-88  291.4 105.9   3   3    0.0017    0.0017   11.2  28.7   489   708   744   967   737   984 0.73 -
179362at2759_1314674_1:002c3e|NODE_859_length_15811_cov_67.394560:11233-15294 -            669 179362at2759         -            938   3.8e-88  291.4  61.1   1   2   5.4e-84   5.4e-84  277.6  19.3     1   325     7   353     7   380 0.79 -
179362at2759_1314674_1:002c3e|NODE_859_length_15811_cov_67.394560:11233-15294 -            669 179362at2759         -            938   3.8e-88  291.4  61.1   2   2   8.3e-06   8.4e-06   18.9  35.0   459   744   381   663   361   669 0.81 -
179362at2759_178035_0:0007d2|NODE_859_length_15811_cov_67.394560:11233-15249  -           1018 179362at2759         -            938   4.3e-88  291.2 124.5   1   4   1.9e-82     2e-82  272.5   7.4     1   279     7   310     7   313 0.89 -
179362at2759_178035_0:0007d2|NODE_859_length_15811_cov_67.394560:11233-15249  -           1018 179362at2759         -            938   4.3e-88  291.2 124.5   2   4   7.3e-05   7.4e-05   15.7  55.7   166   469   304   612   301   617 0.78 -
179362at2759_178035_0:0007d2|NODE_859_length_15811_cov_67.394560:11233-15249  -           1018 179362at2759         -            938   4.3e-88  291.2 124.5   3   4   3.4e-06   3.5e-06   20.1  25.4   367   653   589   865   582   874 0.80 -
179362at2759_178035_0:0007d2|NODE_859_length_15811_cov_67.394560:11233-15249  -           1018 179362at2759         -            938   4.3e-88  291.2 124.5   4   4     0.016     0.017    8.0  32.1   489   699   789  1008   782  1018 0.62 -
179362at2759_694068_1:002962|NODE_859_length_15811_cov_67.394560:11233-15303  -            849 179362at2759         -            938   4.9e-88  291.0  84.6   1   3   5.5e-80   5.6e-80  264.3   3.6     1   223     7   247     7   257 0.83 -
179362at2759_694068_1:002962|NODE_859_length_15811_cov_67.394560:11233-15303  -            849 179362at2759         -            938   4.9e-88  291.0  84.6   2   3   0.00075   0.00076   12.4  35.8   498   786   264   549   260   550 0.88 -
179362at2759_694068_1:002962|NODE_859_length_15811_cov_67.394560:11233-15303  -            849 179362at2759         -            938   4.9e-88  291.0  84.6   3   3   6.9e-08     7e-08   25.7  33.8   367   688   532   845   513   848 0.76 -
179362at2759_38654_0:0018f4|NODE_859_length_15811_cov_67.394560:11233-15303   -            992 179362at2759         -            938     5e-88  291.0  94.1   1   3   1.2e-82   1.2e-82  273.1  19.5     1   341     7   374     7   383 0.86 -
179362at2759_38654_0:0018f4|NODE_859_length_15811_cov_67.394560:11233-15303   -            992 179362at2759         -            938     5e-88  291.0  94.1   2   3   3.5e-05   3.5e-05   16.8  31.3   246   561   431   739   415   752 0.83 -
179362at2759_38654_0:0018f4|NODE_859_length_15811_cov_67.394560:11233-15303   -            992 179362at2759         -            938     5e-88  291.0  94.1   3   3    0.0011    0.0011   11.8  28.5   489   708   750   973   743   990 0.73 -
179362at2759_1041015_0:003c6a|NODE_859_length_15811_cov_67.394560:11233-15273 -            869 179362at2759         -            938   5.2e-88  290.9  97.0   1   3   2.4e-83   2.4e-83  275.5  27.2     1   385     7   416     7   425 0.82 -
179362at2759_1041015_0:003c6a|NODE_859_length_15811_cov_67.394560:11233-15273 -            869 179362at2759         -            938   5.2e-88  290.9  97.0   2   3    0.0096    0.0097    8.7  22.9   484   626   416   562   415   569 0.91 -
179362at2759_1041015_0:003c6a|NODE_859_length_15811_cov_67.394560:11233-15273 -            869 179362at2759         -            938   5.2e-88  290.9  97.0   3   3     2e-05     2e-05   17.6  34.2   458   737   587   863   566   869 0.75 -
179362at2759_42026_0:001233|NODE_859_length_15811_cov_67.394560:11233-15279   -            991 179362at2759         -            938   5.2e-88  290.9 106.7   1   3     2e-82     2e-82  272.4  18.3     1   320     7   346     7   373 0.78 -
179362at2759_42026_0:001233|NODE_859_length_15811_cov_67.394560:11233-15279   -            991 179362at2759         -            938   5.2e-88  290.9 106.7   2   3   1.2e-06   1.2e-06   21.7  46.2   194   560   379   745   359   758 0.76 -
179362at2759_42026_0:001233|NODE_859_length_15811_cov_67.394560:11233-15279   -            991 179362at2759         -            938   5.2e-88  290.9 106.7   3   3     0.025     0.025    7.4  27.8   489   705   757   977   750   990 0.70 -
179362at2759_37001_0:0026c4|NODE_859_length_15811_cov_67.394560:11233-15300   -            986 179362at2759         -            938     6e-88  290.7 106.7   1   3     1e-83     1e-83  276.7  41.2     1   442     7   469     7   475 0.64 -
179362at2759_37001_0:0026c4|NODE_859_length_15811_cov_67.394560:11233-15300   -            986 179362at2759         -            938     6e-88  290.7 106.7   2   3   1.9e-06     2e-06   20.9  58.4   164   653   350   834   340   838 0.66 -
179362at2759_37001_0:0026c4|NODE_859_length_15811_cov_67.394560:11233-15300   -            986 179362at2759         -            938     6e-88  290.7 106.7   3   3    0.0071    0.0072    9.2  31.6   489   707   758   967   750   985 0.68 -
179362at2759_54969_0:003760|NODE_859_length_15811_cov_67.394560:11233-15246   -            926 179362at2759         -            938   6.5e-88  290.6 102.3   1   3   4.5e-83   4.5e-83  274.6  28.2     1   386     7   417     7   427 0.82 -
179362at2759_54969_0:003760|NODE_859_length_15811_cov_67.394560:11233-15246   -            926 179362at2759         -            938   6.5e-88  290.6 102.3   2   3    0.0012    0.0012   11.7  33.7   484   697   416   628   415   650 0.75 -
179362at2759_54969_0:003760|NODE_859_length_15811_cov_67.394560:11233-15246   -            926 179362at2759         -            938   6.5e-88  290.6 102.3   3   3   0.00033   0.00033   13.6  29.6   459   732   654   917   634   926 0.71 -
179362at2759_59894_0:00257e|NODE_859_length_15811_cov_67.394560:11233-15303   -           1019 179362at2759         -            938   6.7e-88  290.6 122.0   1   4   8.4e-81   8.5e-81  267.1   7.4     1   249     7   280     7   291 0.86 -
179362at2759_59894_0:00257e|NODE_859_length_15811_cov_67.394560:11233-15303   -           1019 179362at2759         -            938   6.7e-88  290.6 122.0   2   4   2.6e-05   2.7e-05   17.2  54.8   166   472   292   603   287   608 0.78 -
179362at2759_59894_0:00257e|NODE_859_length_15811_cov_67.394560:11233-15303   -           1019 179362at2759         -            938   6.7e-88  290.6 122.0   3   4   7.4e-06   7.5e-06   19.0  27.3   367   691   577   894   567   895 0.77 -
179362at2759_59894_0:00257e|NODE_859_length_15811_cov_67.394560:11233-15303   -           1019 179362at2759         -            938   6.7e-88  290.6 122.0   4   4    0.0052    0.0052    9.6  29.5   489   708   777  1000   770  1017 0.73 -
179362at2759_146911_0:001511|NODE_859_length_15811_cov_67.394560:11233-15303  -           1005 179362at2759         -            938     7e-88  290.5 107.6   1   3   1.2e-81   1.2e-81  269.9  22.1     1   336     7   369     7   378 0.86 -
179362at2759_146911_0:001511|NODE_859_length_15811_cov_67.394560:11233-15303  -           1005 179362at2759         -            938     7e-88  290.5 107.6   2   3   1.7e-07   1.7e-07   24.5  56.2   208   689   398   878   395   880 0.80 -
179362at2759_146911_0:001511|NODE_859_length_15811_cov_67.394560:11233-15303  -           1005 179362at2759         -            938     7e-88  290.5 107.6   3   3    0.0024    0.0024   10.7  29.5   489   708   763   986   756  1003 0.73 -
179362at2759_224129_0:001791|NODE_859_length_15811_cov_67.394560:11230-15303  -            867 179362at2759         -            938   9.2e-88  290.1  90.0   1   3   1.1e-80   1.1e-80  266.6  23.2     1   318     8   345     8   347 0.80 -
179362at2759_224129_0:001791|NODE_859_length_15811_cov_67.394560:11230-15303  -            867 179362at2759         -            938   9.2e-88  290.1  90.0   2   3     5e-05   5.1e-05   16.3  39.7   499   755   219   476   217   497 0.91 -
179362at2759_224129_0:001791|NODE_859_length_15811_cov_67.394560:11230-15303  -            867 179362at2759         -            938   9.2e-88  290.1  90.0   3   3   2.5e-06   2.6e-06   20.6  38.2   361   708   499   848   484   865 0.67 -
179362at2759_93969_1:0000ec|NODE_859_length_15811_cov_67.394560:11233-15300   -            787 179362at2759         -            938   9.2e-88  290.1  82.1   1   2   1.5e-85   1.5e-85  282.8  46.6     1   560     7   578     7   591 0.79 -
179362at2759_93969_1:0000ec|NODE_859_length_15811_cov_67.394560:11233-15300   -            787 179362at2759         -            938   9.2e-88  290.1  82.1   2   2   0.00067   0.00068   12.5  28.4   489   688   590   784   583   787 0.81 -
179362at2759_28377_0:000ef9|NODE_859_length_15811_cov_67.394560:11233-15270   -           1014 179362at2759         -            938   9.8e-88  290.0 120.5   1   4   3.3e-81   3.4e-81  268.4  23.7     1   336     7   369     7   388 0.86 -
179362at2759_28377_0:000ef9|NODE_859_length_15811_cov_67.394560:11233-15270   -           1014 179362at2759         -            938   9.8e-88  290.0 120.5   2   4   0.00013   0.00013   14.9  54.3   166   471   292   608   287   612 0.81 -
179362at2759_28377_0:000ef9|NODE_859_length_15811_cov_67.394560:11233-15270   -           1014 179362at2759         -            938   9.8e-88  290.0 120.5   3   4   0.00025   0.00025   14.0  12.9   367   560   583   771   573   784 0.77 -
179362at2759_28377_0:000ef9|NODE_859_length_15811_cov_67.394560:11233-15270   -           1014 179362at2759         -            938   9.8e-88  290.0 120.5   4   4    0.0015    0.0015   11.4  28.2   489   704   783  1002   776  1013 0.73 -
179362at2759_1408658_1:00084c|NODE_859_length_15811_cov_67.394560:11233-15300 -            895 179362at2759         -            938     1e-87  290.0  96.3   1   2   7.2e-83   7.3e-83  273.9  42.5     1   452     7   490     7   497 0.78 -
179362at2759_1408658_1:00084c|NODE_859_length_15811_cov_67.394560:11233-15300 -            895 179362at2759         -            938     1e-87  290.0  96.3   2   2   1.3e-05   1.3e-05   18.2  77.2   189   744   318   880   313   885 0.64 -
179362at2759_1664694_1:000cf8|NODE_859_length_15811_cov_67.394560:11233-15297 -            929 179362at2759         -            938   1.2e-87  289.7 105.7   1   3   3.3e-82   3.3e-82  271.7  26.0     1   365     7   398     7   402 0.86 -
179362at2759_1664694_1:000cf8|NODE_859_length_15811_cov_67.394560:11233-15297 -            929 179362at2759         -            938   1.2e-87  289.7 105.7   2   3     0.012     0.012    8.4  45.5   178   471   279   580   279   584 0.70 -
179362at2759_1664694_1:000cf8|NODE_859_length_15811_cov_67.394560:11233-15297 -            929 179362at2759         -            938   1.2e-87  289.7 105.7   3   3   5.1e-06   5.1e-06   19.6  79.3   195   744   380   922   376   928 0.72 -
179362at2759_1069680_1:00079a|NODE_859_length_15811_cov_67.394560:11233-15273 -            886 179362at2759         -            938   1.3e-87  289.6  95.2   1   2   4.2e-83   4.2e-83  274.7  41.4     1   450     7   488     7   492 0.78 -
179362at2759_1069680_1:00079a|NODE_859_length_15811_cov_67.394560:11233-15273 -            886 179362at2759         -            938   1.3e-87  289.6  95.2   2   2   1.5e-05   1.6e-05   18.0  76.6   190   744   319   880   318   885 0.63 -
179362at2759_44394_0:000b76|NODE_859_length_15811_cov_67.394560:11233-15246   -            934 179362at2759         -            938   1.3e-87  289.6 115.8   1   3   2.3e-80   2.3e-80  265.6  26.1     1   336     7   369     7   372 0.86 -
179362at2759_44394_0:000b76|NODE_859_length_15811_cov_67.394560:11233-15246   -            934 179362at2759         -            938   1.3e-87  289.6 115.8   2   3   2.9e-05     3e-05   17.0  55.2   166   472   292   603   288   608 0.78 -
179362at2759_44394_0:000b76|NODE_859_length_15811_cov_67.394560:11233-15246   -            934 179362at2759         -            938   1.3e-87  289.6 115.8   3   3   1.9e-05   1.9e-05   17.7  42.5   367   728   577   924   570   934 0.76 -
179362at2759_83485_0:0015d2|NODE_859_length_15811_cov_67.394560:11233-15273   -            986 179362at2759         -            938   1.4e-87  289.5 118.4   1   4   5.9e-80     6e-80  264.2  23.7     1   345     7   376     7   380 0.84 -
179362at2759_83485_0:0015d2|NODE_859_length_15811_cov_67.394560:11233-15273   -            986 179362at2759         -            938   1.4e-87  289.5 118.4   2   4   0.00021   0.00021   14.2  54.2   166   471   304   623   300   627 0.80 -
179362at2759_83485_0:0015d2|NODE_859_length_15811_cov_67.394560:11233-15273   -            986 179362at2759         -            938   1.4e-87  289.5 118.4   3   4   0.00024   0.00025   14.0  12.8   367   560   598   786   591   799 0.78 -
179362at2759_83485_0:0015d2|NODE_859_length_15811_cov_67.394560:11233-15273   -            986 179362at2759         -            938   1.4e-87  289.5 118.4   4   4    0.0044    0.0044    9.9  27.9   489   678   798   982   791   986 0.78 -
179362at2759_7868_0:00258f|NODE_859_length_15811_cov_67.394560:11233-15303    -           1006 179362at2759         -            938   1.4e-87  289.5 102.7   1   3   1.2e-82   1.3e-82  273.1  19.5     1   341     7   374     7   383 0.86 -
179362at2759_7868_0:00258f|NODE_859_length_15811_cov_67.394560:11233-15303    -           1006 179362at2759         -            938   1.4e-87  289.5 102.7   2   3   8.1e-05   8.2e-05   15.6  39.5   237   559   433   751   414   761 0.56 -
179362at2759_7868_0:00258f|NODE_859_length_15811_cov_67.394560:11233-15303    -           1006 179362at2759         -            938   1.4e-87  289.5 102.7   3   3    0.0012    0.0012   11.7  28.1   489   708   764   987   758  1004 0.73 -
179362at2759_1263082_1:002457|NODE_859_length_15811_cov_67.394560:11233-15300 -            888 179362at2759         -            938   1.5e-87  289.4  94.7   1   2   6.4e-81   6.5e-81  267.4  24.1     1   351     7   382     7   388 0.85 -
179362at2759_1263082_1:002457|NODE_859_length_15811_cov_67.394560:11233-15300 -            888 179362at2759         -            938   1.5e-87  289.4  94.7   2   2   2.3e-07   2.3e-07   24.0  81.4   166   744   304   880   300   887 0.76 -
179362at2759_1608454_0:006888|NODE_859_length_15811_cov_67.394560:11233-15303 -           1005 179362at2759         -            938   1.5e-87  289.4 106.2   1   3   6.3e-82   6.4e-82  270.8  41.3     1   430     7   464     7   489 0.82 -
179362at2759_1608454_0:006888|NODE_859_length_15811_cov_67.394560:11233-15303 -           1005 179362at2759         -            938   1.5e-87  289.4 106.2   2   3   5.9e-07     6e-07   22.7  55.0   208   691   398   880   386   881 0.79 -
179362at2759_1608454_0:006888|NODE_859_length_15811_cov_67.394560:11233-15303 -           1005 179362at2759         -            938   1.5e-87  289.4 106.2   3   3    0.0015    0.0015   11.4  28.5   489   708   763   986   756  1003 0.73 -
179362at2759_244447_0:004581|NODE_859_length_15811_cov_67.394560:11233-15303  -           1005 179362at2759         -            938   1.5e-87  289.4 106.2   1   3   6.3e-82   6.4e-82  270.8  41.3     1   430     7   464     7   489 0.82 -
179362at2759_244447_0:004581|NODE_859_length_15811_cov_67.394560:11233-15303  -           1005 179362at2759         -            938   1.5e-87  289.4 106.2   2   3   5.9e-07     6e-07   22.7  55.0   208   691   398   880   386   881 0.79 -
179362at2759_244447_0:004581|NODE_859_length_15811_cov_67.394560:11233-15303  -           1005 179362at2759         -            938   1.5e-87  289.4 106.2   3   3    0.0015    0.0015   11.4  28.5   489   708   763   986   756  1003 0.73 -
179362at2759_307959_0:006902|NODE_859_length_15811_cov_67.394560:11233-15303  -           1005 179362at2759         -            938   1.5e-87  289.4 106.2   1   3   6.3e-82   6.4e-82  270.8  41.3     1   430     7   464     7   489 0.82 -
179362at2759_307959_0:006902|NODE_859_length_15811_cov_67.394560:11233-15303  -           1005 179362at2759         -            938   1.5e-87  289.4 106.2   2   3   5.9e-07     6e-07   22.7  55.0   208   691   398   880   386   881 0.79 -
179362at2759_307959_0:006902|NODE_859_length_15811_cov_67.394560:11233-15303  -           1005 179362at2759         -            938   1.5e-87  289.4 106.2   3   3    0.0015    0.0015   11.4  28.5   489   708   763   986   756  1003 0.73 -
