## 1.1.1
## assembly	: /in/data/genome_assembly.fasta
## coverage	 bam0 - /in/my_mapped_reads.sorted.bam
## taxonomy	: no taxonomy information found
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
NODE_504_length_19362_cov_65.269277	19362	0.4446	0	0.0	N/A	N/A	N/A
NODE_506_length_19333_cov_80.728396	19333	0.4209	0	0.0	N/A	N/A	N/A
NODE_526_length_19069_cov_61.305286	19069	0.3857	0	0.0	N/A	N/A	N/A
NODE_537_length_18952_cov_91.826649	18952	0.4231	0	0.0	N/A	N/A	N/A
NODE_538_length_18944_cov_74.133991	18944	0.4623	0	0.0	N/A	N/A	N/A
NODE_555_length_18686_cov_66.991026	18686	0.4225	0	0.0	N/A	N/A	N/A
NODE_573_length_18528_cov_74.906509	18528	0.4144	0	0.0	N/A	N/A	N/A
NODE_580_length_18474_cov_70.739686	18474	0.4062	10	0.0	N/A	N/A	N/A
NODE_581_length_18453_cov_102.404223	18453	0.4356	100	0.0	N/A	N/A	N/A
NODE_588_length_18424_cov_72.082793	18424	0.4092	0	0.0	N/A	N/A	N/A
NODE_589_length_18417_cov_66.938277	18417	0.4313	0	0.0	N/A	N/A	N/A
NODE_599_length_18309_cov_120.367266	18309	0.4276	0	0.0	N/A	N/A	N/A
NODE_605_length_18271_cov_87.024678	18271	0.4084	0	0.0	N/A	N/A	N/A
NODE_621_length_17978_cov_74.311994	17978	0.4294	0	0.0084	N/A	N/A	N/A
NODE_632_length_17885_cov_63.838780	17885	0.4122	0	0.0	N/A	N/A	N/A
NODE_635_length_17844_cov_74.702707	17844	0.3912	0	0.0	N/A	N/A	N/A
NODE_636_length_17844_cov_66.578657	17844	0.4437	0	0.0	N/A	N/A	N/A
NODE_651_length_17662_cov_68.889110	17662	0.4375	0	0.0171	N/A	N/A	N/A
NODE_655_length_17641_cov_61.235026	17641	0.3936	0	0.0	N/A	N/A	N/A
NODE_657_length_17624_cov_64.580783	17624	0.4134	100	0.0	N/A	N/A	N/A
NODE_666_length_17556_cov_64.000229	17556	0.4148	0	0.0	N/A	N/A	N/A
NODE_667_length_17538_cov_65.671153	17538	0.405	0	128.4163	N/A	N/A	N/A
NODE_673_length_17488_cov_67.777152	17488	0.407	0	0.0	N/A	N/A	N/A
NODE_687_length_17368_cov_64.964259	17368	0.4091	0	0.0	N/A	N/A	N/A
NODE_688_length_17365_cov_75.675266	17365	0.4383	0	0.0	N/A	N/A	N/A
NODE_689_length_17359_cov_65.005497	17359	0.4117	0	0.0609	N/A	N/A	N/A
NODE_701_length_17255_cov_86.409186	17255	0.4267	0	0.0	N/A	N/A	N/A
NODE_705_length_17223_cov_68.195497	17223	0.4242	0	0.0	N/A	N/A	N/A
NODE_708_length_17180_cov_70.426767	17180	0.4179	0	0.0	N/A	N/A	N/A
NODE_711_length_17143_cov_80.647193	17143	0.4141	0	0.0	N/A	N/A	N/A
NODE_713_length_17134_cov_68.099549	17134	0.4028	0	0.0	N/A	N/A	N/A
NODE_719_length_17064_cov_65.325543	17064	0.4179	0	0.0	N/A	N/A	N/A
NODE_745_length_16838_cov_77.734741	16838	0.4249	0	0.0	N/A	N/A	N/A
NODE_746_length_16832_cov_68.798389	16832	0.4217	0	0.0	N/A	N/A	N/A
NODE_752_length_16796_cov_85.421736	16796	0.4233	0	0.0	N/A	N/A	N/A
NODE_763_length_16605_cov_63.213819	16605	0.3931	0	0.0	N/A	N/A	N/A
NODE_764_length_16597_cov_68.019855	16597	0.4363	0	0.0	N/A	N/A	N/A
NODE_769_length_16551_cov_65.577455	16551	0.3892	0	0.0	N/A	N/A	N/A
NODE_770_length_16546_cov_92.618374	16546	0.4273	0	0.0	N/A	N/A	N/A
NODE_773_length_16524_cov_98.778075	16524	0.4171	0	0.0	N/A	N/A	N/A
NODE_774_length_16516_cov_65.033335	16516	0.4282	0	0.0	N/A	N/A	N/A
NODE_775_length_16509_cov_82.806779	16509	0.4317	0	0.0	N/A	N/A	N/A
NODE_779_length_16485_cov_70.356229	16485	0.4398	0	0.0	N/A	N/A	N/A
NODE_788_length_16361_cov_74.660096	16361	0.438	0	0.203	N/A	N/A	N/A
NODE_792_length_16314_cov_68.648827	16314	0.4152	0	0.0	N/A	N/A	N/A
NODE_807_length_16212_cov_66.370995	16212	0.4174	0	0.0	N/A	N/A	N/A
NODE_813_length_16177_cov_63.353292	16177	0.4208	0	0.0	N/A	N/A	N/A
NODE_822_length_16102_cov_67.152824	16102	0.4113	0	0.0	N/A	N/A	N/A
NODE_832_length_16037_cov_110.726253	16037	0.4045	0	0.0094	N/A	N/A	N/A
NODE_859_length_15811_cov_67.394560	15811	0.4449	0	0.0	N/A	N/A	N/A
NODE_861_length_15789_cov_65.071029	15789	0.4191	0	0.0	N/A	N/A	N/A
NODE_868_length_15730_cov_71.842011	15730	0.3983	0	0.0	N/A	N/A	N/A
NODE_872_length_15720_cov_92.813655	15720	0.4348	0	0.0	N/A	N/A	N/A
NODE_873_length_15715_cov_64.191457	15715	0.4391	0	0.0	N/A	N/A	N/A
NODE_883_length_15603_cov_81.357207	15603	0.4363	0	0.0	N/A	N/A	N/A
NODE_899_length_15491_cov_96.037888	15491	0.4573	100	0.0	N/A	N/A	N/A
NODE_916_length_15358_cov_65.685099	15358	0.4133	0	80.7011	N/A	N/A	N/A
NODE_919_length_15349_cov_129.781888	15349	0.4272	0	0.0	N/A	N/A	N/A
NODE_922_length_15339_cov_71.083934	15339	0.4265	0	0.0	N/A	N/A	N/A
NODE_929_length_15289_cov_72.600184	15289	0.4845	0	0.0	N/A	N/A	N/A
NODE_955_length_15133_cov_83.788722	15133	0.4534	0	0.0	N/A	N/A	N/A
NODE_956_length_15131_cov_107.191909	15131	0.4033	0	0.0	N/A	N/A	N/A
NODE_967_length_15065_cov_63.504470	15065	0.4111	0	0.0	N/A	N/A	N/A
NODE_970_length_15060_cov_94.961490	15060	0.4149	0	0.0	N/A	N/A	N/A
NODE_975_length_15021_cov_69.156317	15021	0.4217	0	0.0	N/A	N/A	N/A
NODE_977_length_14956_cov_78.220647	14956	0.4285	0	0.0	N/A	N/A	N/A
NODE_988_length_14867_cov_67.503313	14867	0.4106	0	0.0	N/A	N/A	N/A
NODE_995_length_14809_cov_61.788895	14809	0.4164	10	0.0	N/A	N/A	N/A
NODE_1011_length_14748_cov_72.181992	14748	0.4502	0	0.0	N/A	N/A	N/A
NODE_1031_length_14638_cov_95.423803	14638	0.419	0	0.0	N/A	N/A	N/A
NODE_1101_length_14326_cov_69.148642	14326	0.4014	0	0.0	N/A	N/A	N/A
NODE_1128_length_14200_cov_66.098704	14200	0.4046	0	0.0	N/A	N/A	N/A
NODE_1142_length_14151_cov_67.063521	14151	0.4092	0	0.0107	N/A	N/A	N/A
NODE_1158_length_14110_cov_72.914345	14110	0.4337	0	0.0	N/A	N/A	N/A
NODE_1166_length_14080_cov_67.299079	14080	0.4121	0	0.0	N/A	N/A	N/A
NODE_1185_length_13996_cov_68.076442	13996	0.4573	0	0.0	N/A	N/A	N/A
NODE_1189_length_13962_cov_65.440043	13962	0.3993	0	0.0	N/A	N/A	N/A
NODE_1200_length_13925_cov_87.514731	13925	0.4804	0	0.0	N/A	N/A	N/A
NODE_1233_length_13730_cov_76.219366	13730	0.461	0	0.0	N/A	N/A	N/A
NODE_1235_length_13721_cov_61.498461	13721	0.411	0	0.0	N/A	N/A	N/A
NODE_1238_length_13692_cov_71.526845	13692	0.421	0	0.0	N/A	N/A	N/A
NODE_1247_length_13653_cov_65.576974	13653	0.4044	0	0.0	N/A	N/A	N/A
NODE_1268_length_13568_cov_63.640798	13568	0.4108	10	0.0	N/A	N/A	N/A
NODE_1274_length_13548_cov_67.530176	13548	0.4118	0	0.0	N/A	N/A	N/A
NODE_1279_length_13536_cov_70.022661	13536	0.4181	0	0.0	N/A	N/A	N/A
NODE_1309_length_13393_cov_73.773280	13393	0.4408	0	0.0	N/A	N/A	N/A
NODE_1323_length_13347_cov_78.855011	13347	0.4237	0	0.1131	N/A	N/A	N/A
NODE_1328_length_13336_cov_70.010483	13336	0.4557	0	0.0	N/A	N/A	N/A
NODE_1362_length_13205_cov_73.974482	13205	0.4298	0	0.0	N/A	N/A	N/A
NODE_1372_length_13147_cov_88.319128	13147	0.4443	0	0.0	N/A	N/A	N/A
NODE_1380_length_13122_cov_61.074511	13122	0.3964	0	0.0	N/A	N/A	N/A
NODE_1391_length_13092_cov_89.688206	13092	0.4245	0	0.0	N/A	N/A	N/A
NODE_1398_length_13065_cov_66.456729	13065	0.3995	0	0.0	N/A	N/A	N/A
NODE_1400_length_13057_cov_79.066641	13057	0.4087	0	0.0	N/A	N/A	N/A
NODE_1407_length_13026_cov_80.853734	13026	0.4493	0	0.0	N/A	N/A	N/A
NODE_1420_length_12999_cov_89.891503	12999	0.4265	100	0.0117	N/A	N/A	N/A
NODE_1458_length_12848_cov_79.667058	12848	0.4271	0	0.0	N/A	N/A	N/A
NODE_1470_length_12799_cov_69.484751	12799	0.4523	10	0.0118	N/A	N/A	N/A
NODE_1510_length_12658_cov_76.206979	12658	0.4676	0	0.0	N/A	N/A	N/A
NODE_1520_length_12624_cov_64.953614	12624	0.4233	0	0.0	N/A	N/A	N/A
NODE_1528_length_12594_cov_61.901015	12594	0.3776	0	0.0	N/A	N/A	N/A
NODE_1558_length_12480_cov_72.528340	12480	0.4433	0	0.0121	N/A	N/A	N/A
NODE_1564_length_12445_cov_89.500970	12445	0.4313	0	0.0	N/A	N/A	N/A
NODE_1616_length_12292_cov_63.443062	12292	0.4147	0	0.0	N/A	N/A	N/A
NODE_1622_length_12253_cov_75.026445	12253	0.4389	0	0.0	N/A	N/A	N/A
NODE_1642_length_12185_cov_63.017839	12185	0.4268	0	0.0	N/A	N/A	N/A
NODE_1649_length_12165_cov_64.116562	12165	0.409	0	0.0	N/A	N/A	N/A
NODE_1652_length_12161_cov_107.845002	12161	0.4195	0	0.0	N/A	N/A	N/A
NODE_1666_length_12129_cov_101.270577	12129	0.4142	0	0.0	N/A	N/A	N/A
NODE_1685_length_12080_cov_63.733317	12080	0.4077	0	136.225	N/A	N/A	N/A
NODE_1686_length_12077_cov_77.014833	12077	0.4228	0	0.0	N/A	N/A	N/A
NODE_1690_length_12070_cov_65.443842	12070	0.3949	0	0.0	N/A	N/A	N/A
NODE_1699_length_12043_cov_74.583988	12043	0.4199	0	0.0627	N/A	N/A	N/A
NODE_1702_length_12026_cov_82.468742	12026	0.4061	0	0.0126	N/A	N/A	N/A
NODE_1732_length_11961_cov_76.814372	11961	0.4197	0	0.0	N/A	N/A	N/A
NODE_1758_length_11885_cov_69.330369	11885	0.4211	0	0.0	N/A	N/A	N/A
NODE_1792_length_11816_cov_87.211006	11816	0.4163	0	0.2045	N/A	N/A	N/A
NODE_1793_length_11807_cov_77.146547	11807	0.444	0	0.0	N/A	N/A	N/A
NODE_1815_length_11767_cov_70.909153	11767	0.4123	0	0.0	N/A	N/A	N/A
NODE_1854_length_11693_cov_69.247590	11693	0.4286	0	0.0	N/A	N/A	N/A
NODE_1894_length_11597_cov_66.954774	11597	0.4334	0	0.0	N/A	N/A	N/A
NODE_1900_length_11586_cov_62.447041	11586	0.4033	0	0.0	N/A	N/A	N/A
NODE_1928_length_11538_cov_73.711543	11538	0.4067	0	0.0	N/A	N/A	N/A
NODE_1954_length_11483_cov_73.369016	11483	0.4142	0	0.0131	N/A	N/A	N/A
NODE_1972_length_11455_cov_62.253472	11455	0.4161	0	0.0	N/A	N/A	N/A
NODE_1990_length_11408_cov_72.369959	11408	0.4155	0	0.0	N/A	N/A	N/A
NODE_2015_length_11347_cov_54.160248	11347	0.4223	0	0.0	N/A	N/A	N/A
NODE_2055_length_11285_cov_73.690757	11285	0.4346	0	0.0	N/A	N/A	N/A
NODE_2075_length_11251_cov_65.751029	11251	0.482	0	0.0	N/A	N/A	N/A
NODE_2091_length_11219_cov_71.674295	11219	0.4037	0	0.0	N/A	N/A	N/A
NODE_2097_length_11212_cov_67.472295	11212	0.4233	0	0.0	N/A	N/A	N/A
NODE_2115_length_11181_cov_71.955421	11181	0.4183	0	0.0	N/A	N/A	N/A
NODE_2137_length_11145_cov_78.561077	11145	0.3824	0	0.0	N/A	N/A	N/A
NODE_2139_length_11137_cov_66.216094	11137	0.4344	0	0.0	N/A	N/A	N/A
NODE_2159_length_11093_cov_66.138344	11093	0.404	0	0.0	N/A	N/A	N/A
NODE_2191_length_11040_cov_90.676640	11040	0.4295	0	0.0	N/A	N/A	N/A
NODE_2220_length_10992_cov_70.110124	10992	0.4201	0	0.0	N/A	N/A	N/A
NODE_2236_length_10965_cov_67.100202	10965	0.4055	0	0.0	N/A	N/A	N/A
NODE_2377_length_10765_cov_65.307728	10765	0.4439	0	0.0	N/A	N/A	N/A
NODE_2429_length_10675_cov_72.007077	10675	0.431	0	0.0	N/A	N/A	N/A
NODE_2445_length_10644_cov_70.869689	10644	0.4204	0	0.0	N/A	N/A	N/A
NODE_2509_length_10537_cov_70.161759	10537	0.4429	0	0.0	N/A	N/A	N/A
NODE_2510_length_10537_cov_67.191300	10537	0.3991	10	0.0287	N/A	N/A	N/A
NODE_2540_length_10492_cov_57.686798	10492	0.4113	0	0.0	N/A	N/A	N/A
NODE_2568_length_10454_cov_60.973885	10454	0.4045	0	0.0	N/A	N/A	N/A
NODE_2607_length_10407_cov_72.120136	10407	0.4263	0	0.0	N/A	N/A	N/A
NODE_2610_length_10403_cov_72.194461	10403	0.3988	0	0.0	N/A	N/A	N/A
NODE_2621_length_10386_cov_67.072364	10386	0.4376	0	0.0	N/A	N/A	N/A
NODE_2638_length_10363_cov_137.921738	10363	0.4387	0	0.0	N/A	N/A	N/A
NODE_2641_length_10359_cov_66.264443	10359	0.4152	0	0.0146	N/A	N/A	N/A
NODE_2656_length_10335_cov_67.303763	10335	0.4224	0	0.0	N/A	N/A	N/A
NODE_2674_length_10311_cov_68.331835	10311	0.4095	0	0.0	N/A	N/A	N/A
NODE_2717_length_10245_cov_70.895653	10245	0.3939	0	0.0	N/A	N/A	N/A
NODE_2761_length_10181_cov_67.643508	10181	0.4131	0	0.0	N/A	N/A	N/A
NODE_2845_length_10096_cov_83.006987	10096	0.4209	0	0.0	N/A	N/A	N/A
NODE_2915_length_10028_cov_54.086022	10028	0.4171	0	0.0	N/A	N/A	N/A
NODE_2916_length_10027_cov_129.492563	10027	0.4184	0	0.0	N/A	N/A	N/A
NODE_2919_length_10024_cov_77.689555	10024	0.391	0	0.0	N/A	N/A	N/A
NODE_3072_length_9842_cov_64.244547	9842	0.4009	0	0.0	N/A	N/A	N/A
NODE_3080_length_9825_cov_121.831453	9825	0.4173	0	0.0307	N/A	N/A	N/A
NODE_3122_length_9775_cov_67.414725	9775	0.4074	0	0.0	N/A	N/A	N/A
NODE_3196_length_9699_cov_67.685512	9699	0.4159	0	0.0	N/A	N/A	N/A
NODE_3228_length_9666_cov_80.133799	9666	0.4078	0	0.0	N/A	N/A	N/A
NODE_3255_length_9641_cov_68.761292	9641	0.4421	0	0.0	N/A	N/A	N/A
NODE_3375_length_9541_cov_62.134404	9541	0.4489	0	131.122	N/A	N/A	N/A
NODE_3404_length_9517_cov_69.350953	9517	0.441	0	0.0	N/A	N/A	N/A
NODE_3421_length_9499_cov_66.258119	9499	0.4322	0	0.0	N/A	N/A	N/A
NODE_3476_length_9445_cov_59.097459	9445	0.4087	0	0.0	N/A	N/A	N/A
NODE_3552_length_9381_cov_70.792240	9381	0.4465	0	0.0	N/A	N/A	N/A
NODE_3563_length_9374_cov_73.069915	9374	0.4219	0	0.0	N/A	N/A	N/A
NODE_3574_length_9366_cov_66.450318	9366	0.4064	0	0.0	N/A	N/A	N/A
NODE_3618_length_9322_cov_68.531422	9322	0.425	0	0.0	N/A	N/A	N/A
NODE_3629_length_9309_cov_57.572140	9309	0.4286	0	0.0	N/A	N/A	N/A
NODE_3759_length_9205_cov_127.917068	9205	0.4161	0	0.0328	N/A	N/A	N/A
NODE_3778_length_9191_cov_67.336515	9191	0.4235	0	0.0	N/A	N/A	N/A
NODE_3797_length_9181_cov_61.924868	9181	0.3963	0	0.0	N/A	N/A	N/A
NODE_3810_length_9172_cov_65.395492	9172	0.4035	0	0.0	N/A	N/A	N/A
NODE_3811_length_9171_cov_73.605784	9171	0.4519	0	0.0	N/A	N/A	N/A
NODE_3955_length_9039_cov_67.577884	9039	0.4228	0	0.0	N/A	N/A	N/A
NODE_3987_length_9016_cov_77.228437	9016	0.4238	0	158.1681	N/A	N/A	N/A
NODE_4156_length_8890_cov_67.041870	8890	0.408	0	0.0	N/A	N/A	N/A
NODE_4287_length_8806_cov_90.338069	8806	0.4383	0	0.0	N/A	N/A	N/A
NODE_4394_length_8726_cov_65.916753	8726	0.4034	0	0.0	N/A	N/A	N/A
NODE_4470_length_8671_cov_69.501862	8671	0.4462	0	0.0	N/A	N/A	N/A
NODE_4503_length_8649_cov_68.949603	8649	0.4324	0	0.0	N/A	N/A	N/A
NODE_4713_length_8505_cov_63.720218	8505	0.4081	0	0.0	N/A	N/A	N/A
NODE_4764_length_8476_cov_70.440767	8476	0.439	0	0.0	N/A	N/A	N/A
NODE_4890_length_8401_cov_64.288323	8401	0.4119	0	0.0	N/A	N/A	N/A
NODE_4892_length_8400_cov_68.033281	8400	0.389	0	0.0	N/A	N/A	N/A
NODE_4894_length_8399_cov_83.641312	8399	0.4104	0	0.0	N/A	N/A	N/A
NODE_5298_length_8170_cov_70.129495	8170	0.3949	0	0.0	N/A	N/A	N/A
NODE_5316_length_8161_cov_63.317046	8161	0.4469	0	0.0	N/A	N/A	N/A
