## 1.1.1
## assembly	: /in/data/genome_assembly.fasta
## coverage	 spades - /in/data/genome_assembly.fasta
## taxonomy	 tax0 - /in/data/blastn.fmt6.out.txt
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	spades	phylum.t.6%s	phylum.s.7%s	phylum.c.8
NODE_111_length_32871_cov_66.055559	32871	0.4067	0	66.0556	no-hit	0.0	0
NODE_116_length_32549_cov_85.165281	32549	0.4464	0	85.1653	no-hit	0.0	0
NODE_117_length_32521_cov_69.027925	32521	0.4318	0	69.0279	no-hit	0.0	0
NODE_121_length_32037_cov_71.518210	32037	0.4079	0	71.5182	no-hit	0.0	0
NODE_122_length_32007_cov_130.657532	32007	0.4217	0	130.6575	Chordata	145.0	0
NODE_125_length_31935_cov_70.591468	31935	0.4184	0	70.5915	no-hit	0.0	0
NODE_128_length_31718_cov_67.394678	31718	0.4188	0	67.3947	no-hit	0.0	0
NODE_136_length_31428_cov_67.891327	31428	0.4079	0	67.8913	no-hit	0.0	0
NODE_142_length_30826_cov_96.864028	30826	0.4183	0	96.864	Chordata	147.0	0
NODE_143_length_30812_cov_72.298520	30812	0.4183	0	72.2985	no-hit	0.0	0
NODE_149_length_30239_cov_73.239739	30239	0.4217	0	73.2397	Chordata	156.0	0
NODE_153_length_30019_cov_63.196780	30019	0.3891	0	63.1968	no-hit	0.0	0
NODE_157_length_29729_cov_69.848138	29729	0.4091	0	69.8481	no-hit	0.0	0
NODE_159_length_29535_cov_63.670853	29535	0.4153	0	63.6709	Chordata	217.0	0
NODE_162_length_29483_cov_66.983167	29483	0.4074	0	66.9832	no-hit	0.0	0
NODE_166_length_29035_cov_77.316217	29035	0.4352	0	77.3162	no-hit	0.0	0
NODE_174_length_28514_cov_73.895523	28514	0.4132	0	73.8955	Chordata	207.0	0
NODE_182_length_28116_cov_81.779842	28116	0.4294	10	81.7798	no-hit	0.0	0
NODE_187_length_27906_cov_68.931187	27906	0.411	0	68.9312	no-hit	0.0	0
NODE_188_length_27897_cov_71.671639	27897	0.4162	0	71.6716	no-hit	0.0	0
NODE_190_length_27773_cov_74.309684	27773	0.4222	0	74.3097	no-hit	0.0	0
NODE_195_length_27492_cov_93.386467	27492	0.4153	0	93.3865	Chordata	267.0	0
NODE_196_length_27441_cov_81.877284	27441	0.4157	0	81.8773	no-hit	0.0	0
NODE_197_length_27420_cov_77.323044	27420	0.435	0	77.323	no-hit	0.0	0
NODE_200_length_27353_cov_69.057596	27353	0.4136	0	69.0576	Chordata	147.0	0
NODE_214_length_26803_cov_93.584936	26803	0.4272	0	93.5849	no-hit	0.0	0
NODE_216_length_26714_cov_73.083230	26714	0.4281	0	73.0832	Chordata	226.0	0
NODE_220_length_26509_cov_78.429517	26509	0.4074	0	78.4295	Platyhelminthes	508.0	0
NODE_224_length_26310_cov_77.091831	26310	0.42	0	77.0918	no-hit	0.0	0
NODE_244_length_25616_cov_87.019460	25616	0.4149	0	87.0195	no-hit	0.0	0
NODE_248_length_25415_cov_91.084142	25415	0.4116	0	91.0841	Arthropoda	220.0	0
NODE_250_length_25387_cov_63.782892	25387	0.4006	0	63.7829	Chordata	200.0	0
NODE_252_length_25349_cov_71.638216	25349	0.4383	0	71.6382	no-hit	0.0	0
NODE_253_length_25344_cov_70.883643	25344	0.4248	0	70.8836	no-hit	0.0	0
NODE_256_length_25289_cov_68.168412	25289	0.4202	0	68.1684	no-hit	0.0	0
NODE_271_length_24607_cov_64.550999	24607	0.4155	0	64.551	no-hit	0.0	0
NODE_276_length_24503_cov_69.914231	24503	0.4122	0	69.9142	no-hit	0.0	0
NODE_277_length_24481_cov_114.232216	24481	0.4294	0	114.2322	Arthropoda	462.0	0
NODE_283_length_24372_cov_127.124964	24372	0.406	0	127.125	Arthropoda	394.0	0
NODE_288_length_24172_cov_71.622494	24172	0.4336	0	71.6225	no-hit	0.0	0
NODE_310_length_23246_cov_67.107083	23246	0.4189	0	67.1071	no-hit	0.0	0
NODE_318_length_22975_cov_74.838545	22975	0.4333	0	74.8385	no-hit	0.0	0
NODE_322_length_22896_cov_70.219948	22896	0.4024	0	70.2199	no-hit	0.0	0
NODE_323_length_22861_cov_76.706197	22861	0.425	0	76.7062	Arthropoda	1168.0	0
NODE_324_length_22821_cov_63.421782	22821	0.4252	100	63.4218	Chordata	172.0	0
NODE_331_length_22588_cov_62.656435	22588	0.4368	0	62.6564	no-hit	0.0	0
NODE_340_length_22460_cov_99.672787	22460	0.3949	0	99.6728	Arthropoda	226.0	0
NODE_349_length_22287_cov_78.882485	22287	0.4333	0	78.8825	Platyhelminthes	250.0	0
NODE_353_length_22180_cov_66.997964	22180	0.4067	0	66.998	no-hit	0.0	0
NODE_354_length_22169_cov_67.531957	22169	0.4009	0	67.532	Arthropoda	490.0	0
NODE_355_length_22129_cov_63.788636	22129	0.4045	10	63.7886	no-hit	0.0	0
NODE_356_length_22075_cov_76.296982	22075	0.4175	0	76.297	no-hit	0.0	0
NODE_357_length_22026_cov_68.242881	22026	0.426	0	68.2429	no-hit	0.0	0
NODE_358_length_22000_cov_77.031291	22000	0.4177	0	77.0313	no-hit	0.0	0
NODE_360_length_21877_cov_68.044266	21877	0.407	0	68.0443	no-hit	0.0	0
NODE_362_length_21848_cov_76.334344	21848	0.4137	0	76.3343	no-hit	0.0	0
NODE_364_length_21740_cov_83.537091	21740	0.4269	0	83.5371	no-hit	0.0	0
NODE_369_length_21657_cov_125.604310	21657	0.4206	0	125.6043	Chordata	145.0	0
NODE_378_length_21466_cov_78.962831	21466	0.4173	0	78.9628	no-hit	0.0	0
NODE_379_length_21451_cov_65.703378	21451	0.4011	100	65.7034	no-hit	0.0	0
NODE_386_length_21367_cov_82.501174	21367	0.4044	0	82.5012	no-hit	0.0	0
NODE_389_length_21323_cov_93.494540	21323	0.4653	0	93.4945	no-hit	0.0	0
NODE_394_length_21166_cov_66.072882	21166	0.4199	0	66.0729	no-hit	0.0	0
NODE_402_length_21069_cov_74.144865	21069	0.4694	0	74.1449	no-hit	0.0	0
NODE_403_length_21055_cov_98.560683	21055	0.4064	0	98.5607	no-hit	0.0	0
NODE_407_length_20962_cov_76.355327	20962	0.4281	0	76.3553	Chordata	375.0	0
NODE_412_length_20887_cov_73.445123	20887	0.4276	0	73.4451	no-hit	0.0	0
NODE_419_length_20685_cov_76.588267	20685	0.4725	0	76.5883	Discosea	303.0	0
NODE_432_length_20500_cov_66.510160	20500	0.4129	0	66.5102	no-hit	0.0	0
NODE_437_length_20433_cov_67.678228	20433	0.4121	0	67.6782	no-hit	0.0	0
NODE_441_length_20395_cov_69.977901	20395	0.4137	0	69.9779	no-hit	0.0	0
NODE_445_length_20372_cov_68.899778	20372	0.4048	0	68.8998	Arthropoda	627.0	0
NODE_455_length_20111_cov_73.379455	20111	0.403	0	73.3795	no-hit	0.0	0
NODE_456_length_20094_cov_65.630114	20094	0.3967	0	65.6301	no-hit	0.0	0
NODE_466_length_19958_cov_77.778381	19958	0.4129	0	77.7784	no-hit	0.0	0
NODE_467_length_19932_cov_101.727676	19932	0.4248	0	101.7277	no-hit	0.0	0
NODE_469_length_19821_cov_65.950719	19821	0.4012	0	65.9507	Chordata	178.0	0
NODE_470_length_19802_cov_75.814956	19802	0.4548	0	75.815	Chordata	488.0	0
NODE_471_length_19774_cov_80.606742	19774	0.424	0	80.6067	no-hit	0.0	0
NODE_473_length_19743_cov_86.165921	19743	0.4225	0	86.1659	no-hit	0.0	0
NODE_478_length_19665_cov_69.856341	19665	0.3998	0	69.8563	no-hit	0.0	0
NODE_480_length_19652_cov_62.517752	19652	0.4086	0	62.5178	Streptophyta	228.0	0
NODE_487_length_19578_cov_66.229937	19578	0.4164	0	66.2299	no-hit	0.0	0
NODE_496_length_19490_cov_96.900170	19490	0.4054	0	96.9002	no-hit	0.0	0
NODE_504_length_19362_cov_65.269277	19362	0.4446	0	65.2693	no-hit	0.0	0
NODE_506_length_19333_cov_80.728396	19333	0.4209	0	80.7284	no-hit	0.0	0
NODE_526_length_19069_cov_61.305286	19069	0.3857	0	61.3053	no-hit	0.0	0
NODE_537_length_18952_cov_91.826649	18952	0.4231	0	91.8266	no-hit	0.0	0
NODE_538_length_18944_cov_74.133991	18944	0.4623	0	74.134	no-hit	0.0	0
NODE_555_length_18686_cov_66.991026	18686	0.4225	0	66.991	no-hit	0.0	0
NODE_573_length_18528_cov_74.906509	18528	0.4144	0	74.9065	Arthropoda	239.0	0
NODE_580_length_18474_cov_70.739686	18474	0.4062	10	70.7397	no-hit	0.0	0
NODE_581_length_18453_cov_102.404223	18453	0.4356	100	102.4042	no-hit	0.0	0
NODE_588_length_18424_cov_72.082793	18424	0.4092	0	72.0828	no-hit	0.0	0
NODE_589_length_18417_cov_66.938277	18417	0.4313	0	66.9383	no-hit	0.0	0
NODE_599_length_18309_cov_120.367266	18309	0.4276	0	120.3673	no-hit	0.0	0
NODE_605_length_18271_cov_87.024678	18271	0.4084	0	87.0247	no-hit	0.0	0
NODE_621_length_17978_cov_74.311994	17978	0.4294	0	74.312	Arthropoda	501.0	0
NODE_632_length_17885_cov_63.838780	17885	0.4122	0	63.8388	Chordata	154.0	0
NODE_635_length_17844_cov_74.702707	17844	0.3912	0	74.7027	no-hit	0.0	0
NODE_636_length_17844_cov_66.578657	17844	0.4437	0	66.5787	Arthropoda	213.0	0
NODE_651_length_17662_cov_68.889110	17662	0.4375	0	68.8891	no-hit	0.0	0
NODE_655_length_17641_cov_61.235026	17641	0.3936	0	61.235	no-hit	0.0	0
NODE_657_length_17624_cov_64.580783	17624	0.4134	100	64.5808	no-hit	0.0	0
NODE_666_length_17556_cov_64.000229	17556	0.4148	0	64.0002	no-hit	0.0	0
NODE_667_length_17538_cov_65.671153	17538	0.405	0	65.6712	no-hit	0.0	0
NODE_673_length_17488_cov_67.777152	17488	0.407	0	67.7772	no-hit	0.0	0
NODE_687_length_17368_cov_64.964259	17368	0.4091	0	64.9643	no-hit	0.0	0
NODE_688_length_17365_cov_75.675266	17365	0.4383	0	75.6753	no-hit	0.0	0
NODE_689_length_17359_cov_65.005497	17359	0.4117	0	65.0055	no-hit	0.0	0
NODE_701_length_17255_cov_86.409186	17255	0.4267	0	86.4092	no-hit	0.0	0
NODE_705_length_17223_cov_68.195497	17223	0.4242	0	68.1955	Arthropoda	926.0	0
NODE_708_length_17180_cov_70.426767	17180	0.4179	0	70.4268	Chordata	171.0	0
NODE_711_length_17143_cov_80.647193	17143	0.4141	0	80.6472	no-hit	0.0	0
NODE_713_length_17134_cov_68.099549	17134	0.4028	0	68.0995	no-hit	0.0	0
NODE_719_length_17064_cov_65.325543	17064	0.4179	0	65.3255	no-hit	0.0	0
NODE_745_length_16838_cov_77.734741	16838	0.4249	0	77.7347	no-hit	0.0	0
NODE_746_length_16832_cov_68.798389	16832	0.4217	0	68.7984	no-hit	0.0	0
NODE_752_length_16796_cov_85.421736	16796	0.4233	0	85.4217	no-hit	0.0	0
NODE_763_length_16605_cov_63.213819	16605	0.3931	0	63.2138	no-hit	0.0	0
NODE_764_length_16597_cov_68.019855	16597	0.4363	0	68.0199	Arthropoda	206.0	0
NODE_769_length_16551_cov_65.577455	16551	0.3892	0	65.5775	no-hit	0.0	0
NODE_770_length_16546_cov_92.618374	16546	0.4273	0	92.6184	no-hit	0.0	0
NODE_773_length_16524_cov_98.778075	16524	0.4171	0	98.7781	Arthropoda	191.0	0
NODE_774_length_16516_cov_65.033335	16516	0.4282	0	65.0333	no-hit	0.0	0
NODE_775_length_16509_cov_82.806779	16509	0.4317	0	82.8068	Mollusca	508.0	0
NODE_779_length_16485_cov_70.356229	16485	0.4398	0	70.3562	Chordata	691.0	0
NODE_788_length_16361_cov_74.660096	16361	0.438	0	74.6601	no-hit	0.0	0
NODE_792_length_16314_cov_68.648827	16314	0.4152	0	68.6488	no-hit	0.0	0
NODE_807_length_16212_cov_66.370995	16212	0.4174	0	66.371	no-hit	0.0	0
NODE_813_length_16177_cov_63.353292	16177	0.4208	0	63.3533	no-hit	0.0	0
NODE_822_length_16102_cov_67.152824	16102	0.4113	0	67.1528	no-hit	0.0	0
NODE_832_length_16037_cov_110.726253	16037	0.4045	0	110.7263	no-hit	0.0	0
NODE_859_length_15811_cov_67.394560	15811	0.4449	0	67.3946	no-hit	0.0	0
NODE_861_length_15789_cov_65.071029	15789	0.4191	0	65.071	no-hit	0.0	0
NODE_868_length_15730_cov_71.842011	15730	0.3983	0	71.842	no-hit	0.0	0
NODE_872_length_15720_cov_92.813655	15720	0.4348	0	92.8137	no-hit	0.0	0
NODE_873_length_15715_cov_64.191457	15715	0.4391	0	64.1915	no-hit	0.0	0
NODE_883_length_15603_cov_81.357207	15603	0.4363	0	81.3572	no-hit	0.0	0
NODE_899_length_15491_cov_96.037888	15491	0.4573	100	96.0379	Arthropoda	147.0	0
NODE_916_length_15358_cov_65.685099	15358	0.4133	0	65.6851	no-hit	0.0	0
NODE_919_length_15349_cov_129.781888	15349	0.4272	0	129.7819	no-hit	0.0	0
NODE_922_length_15339_cov_71.083934	15339	0.4265	0	71.0839	no-hit	0.0	0
NODE_929_length_15289_cov_72.600184	15289	0.4845	0	72.6002	no-hit	0.0	0
NODE_955_length_15133_cov_83.788722	15133	0.4534	0	83.7887	no-hit	0.0	0
NODE_956_length_15131_cov_107.191909	15131	0.4033	0	107.1919	no-hit	0.0	0
NODE_967_length_15065_cov_63.504470	15065	0.4111	0	63.5045	no-hit	0.0	0
NODE_970_length_15060_cov_94.961490	15060	0.4149	0	94.9615	no-hit	0.0	0
NODE_975_length_15021_cov_69.156317	15021	0.4217	0	69.1563	Arthropoda	254.0	0
NODE_977_length_14956_cov_78.220647	14956	0.4285	0	78.2206	no-hit	0.0	0
NODE_988_length_14867_cov_67.503313	14867	0.4106	0	67.5033	no-hit	0.0	0
NODE_995_length_14809_cov_61.788895	14809	0.4164	10	61.7889	no-hit	0.0	0
NODE_1011_length_14748_cov_72.181992	14748	0.4502	0	72.182	no-hit	0.0	0
NODE_1031_length_14638_cov_95.423803	14638	0.419	0	95.4238	no-hit	0.0	0
NODE_1101_length_14326_cov_69.148642	14326	0.4014	0	69.1486	no-hit	0.0	0
NODE_1128_length_14200_cov_66.098704	14200	0.4046	0	66.0987	no-hit	0.0	0
NODE_1142_length_14151_cov_67.063521	14151	0.4092	0	67.0635	Arthropoda	147.0	0
NODE_1158_length_14110_cov_72.914345	14110	0.4337	0	72.9143	no-hit	0.0	0
NODE_1166_length_14080_cov_67.299079	14080	0.4121	0	67.2991	Chordata	207.0	0
NODE_1185_length_13996_cov_68.076442	13996	0.4573	0	68.0764	Chordata	163.0	0
NODE_1189_length_13962_cov_65.440043	13962	0.3993	0	65.44	no-hit	0.0	0
NODE_1200_length_13925_cov_87.514731	13925	0.4804	0	87.5147	no-hit	0.0	0
NODE_1233_length_13730_cov_76.219366	13730	0.461	0	76.2194	no-hit	0.0	0
NODE_1235_length_13721_cov_61.498461	13721	0.411	0	61.4985	Arthropoda	957.0	0
NODE_1238_length_13692_cov_71.526845	13692	0.421	0	71.5268	no-hit	0.0	0
NODE_1247_length_13653_cov_65.576974	13653	0.4044	0	65.577	no-hit	0.0	0
NODE_1268_length_13568_cov_63.640798	13568	0.4108	10	63.6408	no-hit	0.0	0
NODE_1274_length_13548_cov_67.530176	13548	0.4118	0	67.5302	no-hit	0.0	0
NODE_1279_length_13536_cov_70.022661	13536	0.4181	0	70.0227	Chordata	171.0	0
NODE_1309_length_13393_cov_73.773280	13393	0.4408	0	73.7733	no-hit	0.0	0
NODE_1323_length_13347_cov_78.855011	13347	0.4237	0	78.855	no-hit	0.0	0
NODE_1328_length_13336_cov_70.010483	13336	0.4557	0	70.0105	no-hit	0.0	0
NODE_1362_length_13205_cov_73.974482	13205	0.4298	0	73.9745	no-hit	0.0	0
NODE_1372_length_13147_cov_88.319128	13147	0.4443	0	88.3191	no-hit	0.0	0
NODE_1380_length_13122_cov_61.074511	13122	0.3964	0	61.0745	no-hit	0.0	0
NODE_1391_length_13092_cov_89.688206	13092	0.4245	0	89.6882	no-hit	0.0	0
NODE_1398_length_13065_cov_66.456729	13065	0.3995	0	66.4567	no-hit	0.0	0
NODE_1400_length_13057_cov_79.066641	13057	0.4087	0	79.0666	no-hit	0.0	0
NODE_1407_length_13026_cov_80.853734	13026	0.4493	0	80.8537	no-hit	0.0	0
NODE_1420_length_12999_cov_89.891503	12999	0.4265	100	89.8915	no-hit	0.0	0
NODE_1458_length_12848_cov_79.667058	12848	0.4271	0	79.6671	Arthropoda	250.0	0
NODE_1470_length_12799_cov_69.484751	12799	0.4523	10	69.4848	no-hit	0.0	0
NODE_1510_length_12658_cov_76.206979	12658	0.4676	0	76.207	no-hit	0.0	0
NODE_1520_length_12624_cov_64.953614	12624	0.4233	0	64.9536	no-hit	0.0	0
NODE_1528_length_12594_cov_61.901015	12594	0.3776	0	61.901	no-hit	0.0	0
NODE_1558_length_12480_cov_72.528340	12480	0.4433	0	72.5283	no-hit	0.0	0
NODE_1564_length_12445_cov_89.500970	12445	0.4313	0	89.501	no-hit	0.0	0
NODE_1616_length_12292_cov_63.443062	12292	0.4147	0	63.4431	no-hit	0.0	0
NODE_1622_length_12253_cov_75.026445	12253	0.4389	0	75.0264	no-hit	0.0	0
NODE_1642_length_12185_cov_63.017839	12185	0.4268	0	63.0178	no-hit	0.0	0
NODE_1649_length_12165_cov_64.116562	12165	0.409	0	64.1166	no-hit	0.0	0
NODE_1652_length_12161_cov_107.845002	12161	0.4195	0	107.845	no-hit	0.0	0
NODE_1666_length_12129_cov_101.270577	12129	0.4142	0	101.2706	no-hit	0.0	0
NODE_1685_length_12080_cov_63.733317	12080	0.4077	0	63.7333	no-hit	0.0	0
NODE_1686_length_12077_cov_77.014833	12077	0.4228	0	77.0148	no-hit	0.0	0
NODE_1690_length_12070_cov_65.443842	12070	0.3949	0	65.4438	no-hit	0.0	0
NODE_1699_length_12043_cov_74.583988	12043	0.4199	0	74.584	Arthropoda	309.0	0
NODE_1702_length_12026_cov_82.468742	12026	0.4061	0	82.4687	no-hit	0.0	0
NODE_1732_length_11961_cov_76.814372	11961	0.4197	0	76.8144	no-hit	0.0	0
NODE_1758_length_11885_cov_69.330369	11885	0.4211	0	69.3304	no-hit	0.0	0
NODE_1792_length_11816_cov_87.211006	11816	0.4163	0	87.211	no-hit	0.0	0
NODE_1793_length_11807_cov_77.146547	11807	0.444	0	77.1465	Chordata	715.0	0
NODE_1815_length_11767_cov_70.909153	11767	0.4123	0	70.9092	no-hit	0.0	0
NODE_1854_length_11693_cov_69.247590	11693	0.4286	0	69.2476	no-hit	0.0	0
NODE_1894_length_11597_cov_66.954774	11597	0.4334	0	66.9548	Arthropoda	475.0	0
NODE_1900_length_11586_cov_62.447041	11586	0.4033	0	62.447	no-hit	0.0	0
NODE_1928_length_11538_cov_73.711543	11538	0.4067	0	73.7115	no-hit	0.0	0
NODE_1954_length_11483_cov_73.369016	11483	0.4142	0	73.369	no-hit	0.0	0
NODE_1972_length_11455_cov_62.253472	11455	0.4161	0	62.2535	no-hit	0.0	0
NODE_1990_length_11408_cov_72.369959	11408	0.4155	0	72.37	no-hit	0.0	0
NODE_2015_length_11347_cov_54.160248	11347	0.4223	0	54.1602	no-hit	0.0	0
NODE_2055_length_11285_cov_73.690757	11285	0.4346	0	73.6908	no-hit	0.0	0
NODE_2075_length_11251_cov_65.751029	11251	0.482	0	65.751	no-hit	0.0	0
NODE_2091_length_11219_cov_71.674295	11219	0.4037	0	71.6743	no-hit	0.0	0
NODE_2097_length_11212_cov_67.472295	11212	0.4233	0	67.4723	no-hit	0.0	0
NODE_2115_length_11181_cov_71.955421	11181	0.4183	0	71.9554	no-hit	0.0	0
NODE_2137_length_11145_cov_78.561077	11145	0.3824	0	78.5611	no-hit	0.0	0
NODE_2139_length_11137_cov_66.216094	11137	0.4344	0	66.2161	no-hit	0.0	0
NODE_2159_length_11093_cov_66.138344	11093	0.404	0	66.1383	no-hit	0.0	0
NODE_2191_length_11040_cov_90.676640	11040	0.4295	0	90.6766	Chordata	241.0	0
NODE_2220_length_10992_cov_70.110124	10992	0.4201	0	70.1101	no-hit	0.0	0
NODE_2236_length_10965_cov_67.100202	10965	0.4055	0	67.1002	no-hit	0.0	0
NODE_2377_length_10765_cov_65.307728	10765	0.4439	0	65.3077	no-hit	0.0	0
NODE_2429_length_10675_cov_72.007077	10675	0.431	0	72.0071	no-hit	0.0	0
NODE_2445_length_10644_cov_70.869689	10644	0.4204	0	70.8697	no-hit	0.0	0
NODE_2509_length_10537_cov_70.161759	10537	0.4429	0	70.1618	Chordata	281.0	0
NODE_2510_length_10537_cov_67.191300	10537	0.3991	10	67.1913	no-hit	0.0	0
NODE_2540_length_10492_cov_57.686798	10492	0.4113	0	57.6868	no-hit	0.0	0
NODE_2568_length_10454_cov_60.973885	10454	0.4045	0	60.9739	Chordata	440.0	0
NODE_2607_length_10407_cov_72.120136	10407	0.4263	0	72.1201	no-hit	0.0	0
NODE_2610_length_10403_cov_72.194461	10403	0.3988	0	72.1945	no-hit	0.0	0
NODE_2621_length_10386_cov_67.072364	10386	0.4376	0	67.0724	no-hit	0.0	0
NODE_2638_length_10363_cov_137.921738	10363	0.4387	0	137.9217	no-hit	0.0	0
NODE_2641_length_10359_cov_66.264443	10359	0.4152	0	66.2644	no-hit	0.0	0
NODE_2656_length_10335_cov_67.303763	10335	0.4224	0	67.3038	no-hit	0.0	0
NODE_2674_length_10311_cov_68.331835	10311	0.4095	0	68.3318	no-hit	0.0	0
NODE_2717_length_10245_cov_70.895653	10245	0.3939	0	70.8957	no-hit	0.0	0
NODE_2761_length_10181_cov_67.643508	10181	0.4131	0	67.6435	no-hit	0.0	0
NODE_2845_length_10096_cov_83.006987	10096	0.4209	0	83.007	no-hit	0.0	0
NODE_2915_length_10028_cov_54.086022	10028	0.4171	0	54.086	no-hit	0.0	0
NODE_2916_length_10027_cov_129.492563	10027	0.4184	0	129.4926	no-hit	0.0	0
NODE_2919_length_10024_cov_77.689555	10024	0.391	0	77.6896	no-hit	0.0	0
NODE_3072_length_9842_cov_64.244547	9842	0.4009	0	64.2445	Arthropoda	283.0	0
NODE_3080_length_9825_cov_121.831453	9825	0.4173	0	121.8315	no-hit	0.0	0
NODE_3122_length_9775_cov_67.414725	9775	0.4074	0	67.4147	no-hit	0.0	0
NODE_3196_length_9699_cov_67.685512	9699	0.4159	0	67.6855	no-hit	0.0	0
NODE_3228_length_9666_cov_80.133799	9666	0.4078	0	80.1338	no-hit	0.0	0
NODE_3255_length_9641_cov_68.761292	9641	0.4421	0	68.7613	no-hit	0.0	0
NODE_3375_length_9541_cov_62.134404	9541	0.4489	0	62.1344	no-hit	0.0	0
NODE_3404_length_9517_cov_69.350953	9517	0.441	0	69.351	no-hit	0.0	0
NODE_3421_length_9499_cov_66.258119	9499	0.4322	0	66.2581	no-hit	0.0	0
NODE_3476_length_9445_cov_59.097459	9445	0.4087	0	59.0975	no-hit	0.0	0
NODE_3552_length_9381_cov_70.792240	9381	0.4465	0	70.7922	no-hit	0.0	0
NODE_3563_length_9374_cov_73.069915	9374	0.4219	0	73.0699	no-hit	0.0	0
NODE_3574_length_9366_cov_66.450318	9366	0.4064	0	66.4503	no-hit	0.0	0
NODE_3618_length_9322_cov_68.531422	9322	0.425	0	68.5314	no-hit	0.0	0
NODE_3629_length_9309_cov_57.572140	9309	0.4286	0	57.5721	no-hit	0.0	0
NODE_3759_length_9205_cov_127.917068	9205	0.4161	0	127.9171	Arthropoda	206.0	0
NODE_3778_length_9191_cov_67.336515	9191	0.4235	0	67.3365	no-hit	0.0	0
NODE_3797_length_9181_cov_61.924868	9181	0.3963	0	61.9249	no-hit	0.0	0
NODE_3810_length_9172_cov_65.395492	9172	0.4035	0	65.3955	no-hit	0.0	0
NODE_3811_length_9171_cov_73.605784	9171	0.4519	0	73.6058	Chordata	198.0	0
NODE_3955_length_9039_cov_67.577884	9039	0.4228	0	67.5779	no-hit	0.0	0
NODE_3987_length_9016_cov_77.228437	9016	0.4238	0	77.2284	Arthropoda	180.0	0
NODE_4156_length_8890_cov_67.041870	8890	0.408	0	67.0419	no-hit	0.0	0
NODE_4287_length_8806_cov_90.338069	8806	0.4383	0	90.3381	no-hit	0.0	0
NODE_4394_length_8726_cov_65.916753	8726	0.4034	0	65.9168	no-hit	0.0	0
NODE_4470_length_8671_cov_69.501862	8671	0.4462	0	69.5019	no-hit	0.0	0
NODE_4503_length_8649_cov_68.949603	8649	0.4324	0	68.9496	no-hit	0.0	0
NODE_4713_length_8505_cov_63.720218	8505	0.4081	0	63.7202	no-hit	0.0	0
NODE_4764_length_8476_cov_70.440767	8476	0.439	0	70.4408	no-hit	0.0	0
NODE_4890_length_8401_cov_64.288323	8401	0.4119	0	64.2883	Arthropoda	438.0	0
NODE_4892_length_8400_cov_68.033281	8400	0.389	0	68.0333	no-hit	0.0	0
NODE_4894_length_8399_cov_83.641312	8399	0.4104	0	83.6413	no-hit	0.0	0
NODE_5298_length_8170_cov_70.129495	8170	0.3949	0	70.1295	no-hit	0.0	0
